,ARO Accession,Model Name,ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,Protein Accession,DNA Accession
819,ARO:3005526,BlaB-13,BlaB-13,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-13,WP_029729112.1,NG_048691.1
820,ARO:3005527,BlaB-14,BlaB-14,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-14,WP_029729112.1,NG_048691.1
821,ARO:3005528,BlaB-15,BlaB-15,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-15,WP_029729112.1,NG_048691.1
822,ARO:3005529,BlaB-16,BlaB-16,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-16,WP_029729112.1,NG_048691.1
823,ARO:3005530,BlaB-17,BlaB-17,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-17,WP_029729112.1,NG_048691.1
824,ARO:3005531,BlaB-18,BlaB-18,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-18,WP_029729112.1,NG_048691.1
825,ARO:3005532,BlaB-19,BlaB-19,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-19,WP_029729112.1,NG_048691.1
826,ARO:3005533,BlaB-2,BlaB-2,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-2,WP_029729112.1,NG_048691.1
827,ARO:3005534,BlaB-20,BlaB-20,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-20,WP_029729112.1,NG_048691.1
828,ARO:3005535,BlaB-22,BlaB-22,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-22,WP_029729112.1,NG_048691.1
829,ARO:3005536,BlaB-23,BlaB-23,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-23,WP_029729112.1,NG_048691.1
830,ARO:3005537,BlaB-24,BlaB-24,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-24,WP_029729112.1,NG_048691.1
831,ARO:3005538,BlaB-25,BlaB-25,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-25,WP_029729112.1,NG_048691.1
832,ARO:3005539,BlaB-26,BlaB-26,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-26,WP_029729112.1,NG_048691.1
833,ARO:3005540,BlaB-27,BlaB-27,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-27,WP_029729112.1,NG_048691.1
834,ARO:3005541,BlaB-28,BlaB-28,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-28,WP_029729112.1,NG_048691.1
835,ARO:3005542,BlaB-29,BlaB-29,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-29,WP_029729112.1,NG_048691.1
836,ARO:3005543,BlaB-3,BlaB-3,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-3,WP_029729112.1,NG_048691.1
837,ARO:3005544,BlaB-30,BlaB-30,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-30,WP_029729112.1,NG_048691.1
838,ARO:3005545,BlaB-31,BlaB-31,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-31,WP_029729112.1,NG_048691.1
839,ARO:3005546,BlaB-32,BlaB-32,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-32,WP_029729112.1,NG_048691.1
840,ARO:3005547,BlaB-33,BlaB-33,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-33,WP_029729112.1,NG_048691.1
841,ARO:3005548,BlaB-34,BlaB-34,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-34,WP_029729112.1,NG_048691.1
842,ARO:3005549,BlaB-35,BlaB-35,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-35,WP_029729112.1,NG_048691.1
843,ARO:3005550,BlaB-36,BlaB-36,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-36,WP_029729112.1,NG_048691.1
844,ARO:3005551,BlaB-38,BlaB-38,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-38,WP_029729112.1,NG_048691.1
845,ARO:3005552,BlaB-39,BlaB-39,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-39,WP_029729112.1,NG_048691.1
846,ARO:3005553,BlaB-5,BlaB-5,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-5,WP_029729112.1,NG_048691.1
847,ARO:3005554,BlaB-6,BlaB-6,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-6,WP_029729112.1,NG_048691.1
848,ARO:3005555,BlaB-7,BlaB-7,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-7,WP_029729112.1,NG_048691.1
849,ARO:3005556,BlaB-8,BlaB-8,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-8,WP_029729112.1,NG_048691.1
850,ARO:3005557,BlaB-9,BlaB-9,BlaB beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,BlaB-9,WP_029729112.1,NG_048691.1
851,ARO:3007182,blaC,blaC,class A Mycobacterium tuberculosis bla beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,blaC,CCP44842.1,AL123456.3
852,ARO:3003562,blaF,blaF,blaF family beta-lactamase,penicillin beta-lactam,antibiotic inactivation,blaF,AAA19882.1,L25634.1
853,ARO:3000160,blaI,blaI,BlaZ beta-lactamase,penicillin beta-lactam,antibiotic inactivation,blaI,ABU39978.1,EF540343.1
854,ARO:3000217,blaR1,blaR1,BlaZ beta-lactamase,penicillin beta-lactam,antibiotic inactivation,blaR1,ABU39978.1,EF540343.1
855,ARO:3005111,blaS1,blaS1,blaS,cephalosporin;penicillin beta-lactam,antibiotic inactivation,blaS1,AAP97895.1,AY332268.1
856,ARO:3005036,BLMT,BLMT,Bleomycin resistant protein,glycopeptide antibiotic,antibiotic inactivation,BLMT,BAF34030.1,AB255435.1
857,ARO:3003006,blt,blt,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,blt,AMD83542.1,KT852971.1
858,ARO:3008081,BMHC-1,BMHC-1,BMHC beta-lactamase,carbapenem,antibiotic inactivation,BMHC-1,UZX27393.1,CP110126.1
859,ARO:3003007,bmr,bmr,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic;nucleoside antibiotic;phenicol antibiotic,antibiotic efflux,bmr,AMD83542.1,KT852971.1
860,ARO:3008082,BOR-1,BOR-1,BOR beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BOR-1,CAE32545.1,BX640443.1
861,ARO:3003504,Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Bbur_16S_GEN,,NR_044732.2
862,ARO:3003503,Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Bbur_16S_KAN,,NR_044732.2
863,ARO:3003502,Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Bbur_16S_SPT,,NR_044732.2
864,ARO:3003777,Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin,Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin,antibiotic-resistant murA transferase,phosphonic acid antibiotic,antibiotic target alteration,Bbur_mur_FOF,AAC66824.2,AE000783.1
865,ARO:3004759,BPU-1,BPU-1,BPU Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BPU-1,ABV63006.2,CP000813.4
866,ARO:3004133,Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Bhyo_23S_TYL,,NZ_CP015910.2
867,ARO:3004761,BRO-1,BRO-1,BRO Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BRO-1,AAA92126.1,U49269.2
868,ARO:3004762,BRO-2,BRO-2,BRO Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BRO-2,AAA92126.1,U49269.2
869,ARO:3001205,BRP(MBL),BRP(MBL),Bleomycin resistant protein,glycopeptide antibiotic,antibiotic inactivation,BRP(MBL),BAF34030.1,AB255435.1
870,ARO:3003772,Brucella suis mprF,Brucella suis mprF,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Bsui_mprF,CAX52582.1,AL009126.3
871,ARO:3006902,BSU-1,BSU-1,BSU beta-lactamase,carbapenem,antibiotic inactivation,BSU-1,WP_003235647.1,NG_050942.1
872,ARO:3004860,Burkholderia dolosa gyrA conferring resistance to fluoroquinolones,Burkholderia dolosa gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Bdol_gyrA_FLO,AJF82744.1,CP010781.1
873,ARO:3004123,Burkholderia pseudomallei Omp38,Burkholderia pseudomallei Omp38,General Bacterial Porin with reduced permeability to beta-lactams,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,reduced permeability to antibiotic,Bpse_Omp38,AAP82271.1,AY312416.1
874,ARO:3004294,BUT-1,BUT-1,BUT beta-lactamase,cephalosporin,antibiotic inactivation,BUT-1,AAN17791.1,AF440406.1
875,ARO:3005558,BUT-2,BUT-2,BUT beta-lactamase,cephalosporin,antibiotic inactivation,BUT-2,AAN17791.1,AF440406.1
876,ARO:3007635,CAE-1,CAE-1,CAE beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,CAE-1,QXW20276.1,CP079746.1
877,ARO:3004559,CAM-1,CAM-1,CAM beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,CAM-1,AVX51087.1,MG430339.1
878,ARO:3008083,CAM-2,CAM-2,CAM beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,CAM-2,AVX51087.1,MG430339.1
879,ARO:3004454,Campylobacter coli chloramphenicol acetyltransferase,Campylobacter coli chloramphenicol acetyltransferase,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,Ccol_ACT_CHL,AAA22081.1,M58472.1
880,ARO:3004546,Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Cjej_23S_ERY,,NZ_CP015910.2
881,ARO:3003789,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Cjej_gyrA_FLO,AJF82744.1,CP010781.1
882,ARO:3003931,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Cgin_gyrA_FLO,AJF82744.1,CP010781.1
883,ARO:3006903,CAR-1,CAR-1,CAR beta-lactamase,carbapenem,antibiotic inactivation,CAR-1,WP_011094382.1,NG_048712.1
884,ARO:3002817,carA,carA,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic,antibiotic target protection,carA,AAC32027.1,M80346.1
885,ARO:3002240,CARB-1,CARB-1,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-1,AAK96394.1,AF313471.1
886,ARO:3002249,CARB-10,CARB-10,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-10,AAK96394.1,AF313471.1
887,ARO:3005559,CARB-11,CARB-11,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-11,AAK96394.1,AF313471.1
888,ARO:3002250,CARB-12,CARB-12,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-12,AAK96394.1,AF313471.1
889,ARO:3002252,CARB-14,CARB-14,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-14,AAK96394.1,AF313471.1
890,ARO:3002255,CARB-16,CARB-16,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-16,AAK96394.1,AF313471.1
891,ARO:3002254,CARB-17,CARB-17,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-17,AAK96394.1,AF313471.1
892,ARO:3003174,CARB-18,CARB-18,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-18,AAK96394.1,AF313471.1
893,ARO:3003175,CARB-19,CARB-19,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-19,AAK96394.1,AF313471.1
894,ARO:3002241,CARB-2,CARB-2,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-2,AAK96394.1,AF313471.1
895,ARO:3003150,CARB-20,CARB-20,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-20,AAK96394.1,AF313471.1
896,ARO:3003176,CARB-21,CARB-21,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-21,AAK96394.1,AF313471.1
897,ARO:3003151,CARB-22,CARB-22,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-22,AAK96394.1,AF313471.1
898,ARO:3003186,CARB-23,CARB-23,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-23,AAK96394.1,AF313471.1
899,ARO:3005560,CARB-24,CARB-24,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-24,AAK96394.1,AF313471.1
900,ARO:3005561,CARB-25,CARB-25,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-25,AAK96394.1,AF313471.1
901,ARO:3005562,CARB-26,CARB-26,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-26,AAK96394.1,AF313471.1
902,ARO:3005563,CARB-27,CARB-27,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-27,AAK96394.1,AF313471.1
903,ARO:3005564,CARB-28,CARB-28,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-28,AAK96394.1,AF313471.1
904,ARO:3005565,CARB-29,CARB-29,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-29,AAK96394.1,AF313471.1
905,ARO:3002242,CARB-3,CARB-3,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-3,AAK96394.1,AF313471.1
906,ARO:3005566,CARB-30,CARB-30,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-30,AAK96394.1,AF313471.1
907,ARO:3005567,CARB-31,CARB-31,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-31,AAK96394.1,AF313471.1
908,ARO:3005568,CARB-32,CARB-32,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-32,AAK96394.1,AF313471.1
909,ARO:3005569,CARB-33,CARB-33,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-33,AAK96394.1,AF313471.1
910,ARO:3005570,CARB-34,CARB-34,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-34,AAK96394.1,AF313471.1
911,ARO:3005571,CARB-35,CARB-35,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-35,AAK96394.1,AF313471.1
912,ARO:3005572,CARB-36,CARB-36,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-36,AAK96394.1,AF313471.1
913,ARO:3005573,CARB-38,CARB-38,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-38,AAK96394.1,AF313471.1
914,ARO:3002243,CARB-4,CARB-4,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-4,AAK96394.1,AF313471.1
915,ARO:3005574,CARB-40,CARB-40,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-40,AAK96394.1,AF313471.1
916,ARO:3005575,CARB-41,CARB-41,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-41,AAK96394.1,AF313471.1
917,ARO:3005576,CARB-42,CARB-42,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-42,AAK96394.1,AF313471.1
918,ARO:3005577,CARB-43,CARB-43,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-43,AAK96394.1,AF313471.1
919,ARO:3005578,CARB-44,CARB-44,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-44,AAK96394.1,AF313471.1
920,ARO:3005579,CARB-45,CARB-45,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-45,AAK96394.1,AF313471.1
921,ARO:3005580,CARB-46,CARB-46,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-46,AAK96394.1,AF313471.1
922,ARO:3005581,CARB-47,CARB-47,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-47,AAK96394.1,AF313471.1
923,ARO:3005582,CARB-48,CARB-48,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-48,AAK96394.1,AF313471.1
924,ARO:3005583,CARB-49,CARB-49,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-49,AAK96394.1,AF313471.1
925,ARO:3002244,CARB-5,CARB-5,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-5,AAK96394.1,AF313471.1
926,ARO:3005584,CARB-50,CARB-50,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-50,AAK96394.1,AF313471.1
927,ARO:3005585,CARB-51,CARB-51,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-51,AAK96394.1,AF313471.1
928,ARO:3005586,CARB-52,CARB-52,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-52,AAK96394.1,AF313471.1
929,ARO:3005587,CARB-53,CARB-53,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-53,AAK96394.1,AF313471.1
930,ARO:3005588,CARB-54,CARB-54,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-54,AAK96394.1,AF313471.1
931,ARO:3005589,CARB-55,CARB-55,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-55,AAK96394.1,AF313471.1
932,ARO:3007803,CARB-56,CARB-56,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-56,AAK96394.1,AF313471.1
933,ARO:3007836,CARB-57,CARB-57,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-57,AAK96394.1,AF313471.1
934,ARO:3007837,CARB-58,CARB-58,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-58,AAK96394.1,AF313471.1
935,ARO:3002245,CARB-6,CARB-6,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-6,AAK96394.1,AF313471.1
936,ARO:3002246,CARB-7,CARB-7,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-7,AAK96394.1,AF313471.1
937,ARO:3002247,CARB-8,CARB-8,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-8,AAK96394.1,AF313471.1
938,ARO:3002248,CARB-9,CARB-9,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-9,AAK96394.1,AF313471.1
939,ARO:3003808,carO,carO,CarO porin,carbapenem,reduced permeability to antibiotic;resistance by absence,carO,AKL79742.1,KP658477.1
940,ARO:3002683,catA1,catA1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catA1,AAA22081.1,M58472.1
941,ARO:3004657,catA4,catA4,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catA4,AAA22081.1,M58472.1
942,ARO:3004658,catA8,catA8,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catA8,AAA22081.1,M58472.1
943,ARO:3003110,catB10,catB10,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB10,AAA22081.1,M58472.1
944,ARO:3004660,catB11,catB11,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB11,AAA22081.1,M58472.1
945,ARO:3002675,catB2,catB2,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB2,AAA22081.1,M58472.1
946,ARO:3002676,catB3,catB3,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB3,AAA22081.1,M58472.1
947,ARO:3002680,catB8,catB8,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB8,AAA22081.1,M58472.1
948,ARO:3002681,catB9,catB9,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB9,AAA22081.1,M58472.1
949,ARO:3002684,catII,catII,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catII,AAA22081.1,M58472.1
950,ARO:3004656,catII from Escherichia coli K-12,catII from Escherichia coli K-12,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,Ecol_catII,AAA22081.1,M58472.1
951,ARO:3002685,catIII,catIII,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catIII,AAA22081.1,M58472.1
952,ARO:3002686,catP,catP,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catP,AAA22081.1,M58472.1
953,ARO:3002687,catQ,catQ,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catQ,AAA22081.1,M58472.1
954,ARO:3002688,catS,catS,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catS,AAA22081.1,M58472.1
955,ARO:3003983,CatU,CatU,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,CatU,AAA22081.1,M58472.1
956,ARO:3004357,catV,catV,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catV,AAA22081.1,M58472.1
957,ARO:3000855,CAU-1,CAU-1,CAU beta-lactamase,carbapenem;penicillin beta-lactam,antibiotic inactivation,CAU-1,CAC87665.1,AJ308331.1
958,ARO:3002999,CblA-1,CblA-1,CblA beta-lactamase,cephalosporin,antibiotic inactivation,CblA-1,ACT97415.1,GQ343019.1
959,ARO:3004764,CBP-1,CBP-1,CBP beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CBP-1,ALF06101.1,KP718480.1
960,ARO:3000578,CcrA,CcrA,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CcrA,AAA22904.1,M63556.1
961,ARO:3007650,CDA-1,CDA-1,CDA beta-lactamase;CTX-M beta-lactamase;SHV beta-lactamase;TEM beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,CDA-1,,
962,ARO:3006904,CDD-1,CDD-1,CDD beta-lactamase,carbapenem,antibiotic inactivation,CDD-1,WP_009901927.1,NG_065860.1
963,ARO:3006905,CDD-2,CDD-2,CDD beta-lactamase,carbapenem,antibiotic inactivation,CDD-2,WP_009901927.1,NG_065860.1
964,ARO:3003835,cdeA,cdeA,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,cdeA,BAD89844.2,AB204810.2
965,ARO:3003009,ceoA,ceoA,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoA,WP_001985623.1,NC_010410.1
966,ARO:3003010,ceoB,ceoB,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoB,WP_001985623.1,NC_010410.1
967,ARO:3003559,cepA,cepA,CepA beta-lactamase,cephalosporin,antibiotic inactivation,cepA,AAA21532.1,U05883.1
968,ARO:3006224,CepA-29,CepA-29,CepA beta-lactamase,cephalosporin,antibiotic inactivation,CepA-29,AAA21532.1,U05883.1
969,ARO:3006225,CepA-44,CepA-44,CepA beta-lactamase,cephalosporin,antibiotic inactivation,CepA-44,AAA21532.1,U05883.1
970,ARO:3006226,CepA-49,CepA-49,CepA beta-lactamase,cephalosporin,antibiotic inactivation,CepA-49,AAA21532.1,U05883.1
971,ARO:3003553,CepS,CepS,CepS beta-lactamase,cephalosporin,antibiotic inactivation,CepS,CAA56561.1,X80277.1
972,ARO:3001856,CFE-1,CFE-1,CMY beta-lactamase,cephalosporin,antibiotic inactivation,CFE-1,BAC76072.1,AB107899.1
973,ARO:3004464,CFE-2,CFE-2,CMY beta-lactamase,cephalosporin,antibiotic inactivation,CFE-2,BAC76072.1,AB107899.1
974,ARO:3006906,CfiA10,CfiA10,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA10,AAA22904.1,M63556.1
975,ARO:3006907,CfiA11,CfiA11,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA11,AAA22904.1,M63556.1
976,ARO:3006908,CfiA14,CfiA14,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA14,AAA22904.1,M63556.1
977,ARO:3006909,CfiA17,CfiA17,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA17,AAA22904.1,M63556.1
978,ARO:3006910,CfiA18,CfiA18,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA18,AAA22904.1,M63556.1
979,ARO:3006911,CfiA19,CfiA19,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA19,AAA22904.1,M63556.1
980,ARO:3006912,CfiA2,CfiA2,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA2,AAA22904.1,M63556.1
981,ARO:3006913,CfiA21,CfiA21,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA21,AAA22904.1,M63556.1
982,ARO:3006914,CfiA22,CfiA22,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA22,AAA22904.1,M63556.1
